unitid,name,state,setting,size,admit_rate,sat_25,sat_75,act_25,act_75,gpa_avg,test_policy,ed_admit_rate,rd_admit_rate,c7_factors,selectivity_tier
110662,University of California-Los Angeles,CA,city,33475,0.0897,,,,,,blind,,,"{""demonstrated_interest"": ""Not Considered"", ""essay"": ""Very Important"", ""extracurriculars"": ""Very Important"", ""first_generation"": ""Considered"", ""gpa"": ""Very Important"", ""recommendations"": ""Not Considered"", ""rigor"": ""Very Important"", ""state_residency"": ""Important"", ""talent"": ""Important"", ""test_scores"": ""Not Considered""}",elite
193900,New York University,NY,city,28663,0.0923,1480,1560,34,35,,unknown,,,{},elite
123961,University of Southern California,CA,city,20443,0.0981,1450,1550,32,35,,unknown,,,{},elite
167358,Northeastern University,MA,city,17326,0.0522,1440,1540,33,35,,optional,,,"{""demonstrated_interest"": ""Important"", ""essay"": ""Important"", ""extracurriculars"": ""Important"", ""first_generation"": ""Considered"", ""gpa"": ""Very Important"", ""recommendations"": ""Important"", ""rigor"": ""Very Important"", ""state_residency"": ""Not Considered"", ""talent"": ""Considered"", ""test_scores"": ""Considered""}",elite
190415,Cornell University,NY,city,15995,0.0876,1500,1570,33,35,,unknown,,,{},elite
215062,University of Pennsylvania,PA,city,10650,0.054,1510,1570,34,36,,optional,,,"{""demonstrated_interest"": ""Not Considered"", ""essay"": ""Very Important"", ""extracurriculars"": ""Very Important"", ""first_generation"": ""Considered"", ""gpa"": ""Very Important"", ""recommendations"": ""Important"", ""rigor"": ""Very Important"", ""state_residency"": ""Not Considered"", ""talent"": ""Important"", ""test_scores"": ""Considered""}",elite
147767,Northwestern University,IL,city,9201,0.0769,1510,1570,33,35,,unknown,,,{},elite
190150,Columbia University in the City of New York,NY,city,8973,0.0399,1510,1580,34,35,,unknown,,,{},elite
166027,Harvard University,MA,city,7601,0.0365,1510,1580,34,36,,optional,,,"{""demonstrated_interest"": ""Not Considered"", ""essay"": ""Very Important"", ""extracurriculars"": ""Very Important"", ""first_generation"": ""Considered"", ""gpa"": ""Very Important"", ""recommendations"": ""Very Important"", ""rigor"": ""Very Important"", ""state_residency"": ""Not Considered"", ""talent"": ""Very Important"", ""test_scores"": ""Considered""}",elite
144050,University of Chicago,IL,city,7569,0.0448,1510,1580,34,35,,unknown,,,{},elite
243744,Stanford University,CA,suburb,7554,0.0361,1510,1580,34,35,,optional,,,"{""demonstrated_interest"": ""Not Considered"", ""essay"": ""Very Important"", ""extracurriculars"": ""Very Important"", ""first_generation"": ""Considered"", ""gpa"": ""Very Important"", ""recommendations"": ""Very Important"", ""rigor"": ""Very Important"", ""state_residency"": ""Not Considered"", ""talent"": ""Very Important"", ""test_scores"": ""Considered""}",elite
217156,Brown University,RI,city,7226,0.0539,1510,1580,34,35,,unknown,,,{},elite
221999,Vanderbilt University,TN,city,7208,0.0586,1500,1570,34,35,,unknown,,,{},elite
130794,Yale University,CT,city,6758,0.0387,1470,1570,33,35,,unknown,,,{},elite
198419,Duke University,NC,city,6442,0.0571,1500,1570,34,35,,unknown,,,{},elite
186131,Princeton University,NJ,city,5709,0.0462,1510,1580,34,35,,unknown,,,{},elite
162928,Johns Hopkins University,MD,city,5693,0.0644,1520,1570,34,36,,unknown,,,{},elite
227757,Rice University,TX,city,4776,0.08,1510,1570,34,35,,unknown,,,{},elite
182670,Dartmouth College,NH,town,4541,0.054,1500,1570,33,35,,unknown,,,{},elite
166683,Massachusetts Institute of Technology,MA,city,4535,0.0455,1520,1580,34,36,,required,,,"{""demonstrated_interest"": ""Not Considered"", ""essay"": ""Important"", ""extracurriculars"": ""Important"", ""first_generation"": ""Considered"", ""gpa"": ""Very Important"", ""recommendations"": ""Important"", ""rigor"": ""Very Important"", ""state_residency"": ""Not Considered"", ""talent"": ""Important"", ""test_scores"": ""Very Important""}",elite
164155,United States Naval Academy,MD,suburb,4474,0.0927,1210,1410,25,31,,unknown,,,{},elite
189097,Barnard College,NY,city,3264,0.0884,1470,1560,32,34,,unknown,,,{},elite
161086,Colby College,ME,town,2407,0.0709,1460,1550,32,34,,unknown,,,{},elite
168342,Williams College,MA,town,2076,0.0825,1490,1570,34,35,,unknown,,,{},elite
164465,Amherst College,MA,city,1911,0.0901,1490,1580,33,35,,unknown,,,{},elite
161004,Bowdoin College,ME,town,1873,0.0713,1470,1550,33,35,,unknown,,,{},elite
121345,Pomona College,CA,suburb,1666,0.0709,1490,1560,33,35,,unknown,,,{},elite
216287,Swarthmore College,PA,suburb,1613,0.0746,1490,1560,33,35,,unknown,,,{},elite
112260,Claremont McKenna College,CA,suburb,1388,0.0959,1470,1560,33,35,,unknown,,,{},elite
